Wall time,Step,Value
1731461049.8172407,4789,0.0
1731461212.7624404,4803,0.0
1731461490.8002715,4841,0.0
1731461603.7774057,4853,0.0
1731461944.3825123,4895,0.0
1731462448.6197655,4963,0.0
1731462538.222357,4972,0.0
1731462575.0070865,4975,0.0
1731463193.352106,5051,0.0
1731463218.7624152,5053,0.0
1731463678.8791733,5107,0.0
1731463933.2422004,5135,0.0
1731464900.99751,5240,0.0
1731465728.927371,5330,0.0
1731465914.9032185,5346,0.0
1731466102.4474308,5360,0.0
1731466611.4522443,5421,0.0
1731467374.495967,5518,0.0
1731467689.9224834,5550,0.0
1731468707.0924423,5665,0.0
1731468845.5129967,5680,0.0
1731469192.3232899,5724,0.0
1731469863.0623434,5809,0.0
1731470008.3747876,5826,0.0
1731470034.0372264,5829,0.0
1731470373.7476556,5865,0.0
1731470430.9021988,5872,0.0
1731470721.4373167,5908,0.0
1731470887.767295,5929,0.0
1731471339.9127624,5991,0.0
1731471504.577462,6011,0.0
1731472554.7132747,6122,0.0
1731472608.7522154,6132,0.0
1731473129.8824313,6201,0.0
1731473296.0122867,6214,0.0
1731473333.1176596,6220,0.0
1731473452.167527,6233,0.0
1731473859.9924212,6290,0.0
1731474038.4774241,6313,0.0
1731474094.5727518,6318,0.0
1731474596.1473696,6377,0.0
1731474798.0001974,6401,0.0
1731475678.9524012,6521,0.0
1731476185.8523479,6575,0.0
1731476360.747289,6604,0.0
1731476787.2377775,6658,0.0
1731477188.9122753,6697,0.0
1731477213.302549,6700,0.0
1731477307.967389,6712,0.0
1731477619.1427078,6743,0.0
1731478444.4589283,6847,0.0
1731478525.0951989,6855,0.0
1731478626.307628,6870,0.0
1731479310.4050074,6967,0.0
1731479519.8076882,6993,0.0
1731479688.7520635,7015,0.0
1731480429.712327,7107,0.0
1731480506.8674002,7115,0.0
1731480880.9279768,7156,0.0
1731481620.2632425,7248,0.0
1731482042.8274167,7312,0.0
1731482281.536336,7340,0.0
1731482307.362626,7341,0.0
1731482482.2322974,7360,0.0
1731482636.0773869,7383,0.0
1731482791.7226925,7402,0.0
1731483148.5329194,7451,0.0
1731483219.2827294,7461,0.0
1731483226.6775005,7464,0.0
1731483354.4124503,7479,0.0
1731483625.5026658,7512,0.0
1731485041.5625732,7688,0.0
1731485112.4626873,7694,1.0
1731485663.8025997,7761,0.0
1731485877.8376632,7789,0.0
1731485963.712615,7799,0.0
1731486296.9652743,7834,0.0
1731486742.97051,7901,0.0
1731487033.4984617,7933,0.0
1731487540.0629508,7992,0.0
1731487789.1346726,8027,0.0
1731488052.386689,8067,0.0
1731488942.282351,8181,0.0
1731489170.8318193,8216,0.0
1731489227.0255103,8222,0.0
1731489783.3811197,8291,0.0
1731490070.2752688,8335,0.0
1731490300.8062162,8364,0.0
1731490353.5182052,8369,0.0
1731490394.7807627,8378,0.0
1731491104.7752135,8468,0.0
1731491125.632912,8471,0.0
1731491319.3431485,8499,0.0
1731491378.527499,8509,0.0
1731491800.056327,8567,0.0
1731492057.1313343,8602,0.0
1731492321.804416,8636,0.0
1731492722.208168,8696,0.0
1731493677.7745144,8820,0.0
1731493703.2438455,8823,0.0
1731494153.310858,8879,0.0
1731494357.9935966,8905,0.0
1731494379.1243837,8908,0.0
1731494532.0399613,8929,0.0
1731494602.1814563,8936,0.0
1731495084.531029,8994,0.0
1731495141.165924,9000,0.0
1731495573.331401,9056,0.0
1731497000.1031876,9227,0.0
1731497047.071738,9234,0.0
1731497290.9959354,9261,0.0
1731497605.9886072,9317,0.0
